Árvore de Busca em Largura a partir do vértice 1000
vértice 516: pai = 16756, nível = 9
vértice 517: pai = 516, nível = 10
vértice 518: pai = 516, nível = 10
vértice 519: pai = -1, nível = -1
vértice 520: pai = -1, nível = -1
vértice 521: pai = 507, nível = 7
vértice 522: pai = -1, nível = -1
vértice 523: pai = -1, nível = -1
vértice 524: pai = 35020, nível = 12
vértice 525: pai = -1, nível = -1
vértice 526: pai = -1, nível = -1
vértice 527: pai = -1, nível = -1
vértice 528: pai = -1, nível = -1
vértice 529: pai = -1, nível = -1
vértice 530: pai = -1, nível = -1
vértice 531: pai = 22064, nível = 10
vértice 532: pai = 22251, nível = 7
vértice 533: pai = 532, nível = 8
vértice 534: pai = 3773, nível = 14
vértice 535: pai = 3510, nível = 10
vértice 536: pai = -1, nível = -1
vértice 537: pai = -1, nível = -1
vértice 538: pai = -1, nível = -1
vértice 539: pai = -1, nível = -1
vértice 540: pai = 2367, nível = 11
vértice 541: pai = -1, nível = -1
vértice 542: pai = -1, nível = -1
vértice 543: pai = -1, nível = -1
vértice 544: pai = -1, nível = -1
vértice 545: pai = -1, nível = -1
vértice 546: pai = -1, nível = -1
vértice 547: pai = 6933, nível = 10
vértice 548: pai = 238, nível = 10
vértice 549: pai = 548, nível = 11
vértice 550: pai = -1, nível = -1
vértice 551: pai = 21530, nível = 10
vértice 552: pai = 34960, nível = 11
vértice 553: pai = 100, nível = 7
vértice 554: pai = 34151, nível = 11
vértice 555: pai = 557, nível = 14
vértice 556: pai = 557, nível = 14
vértice 557: pai = 37413, nível = 13
vértice 558: pai = 16560, nível = 12
vértice 559: pai = -1, nível = -1
vértice 560: pai = -1, nível = -1
vértice 561: pai = -1, nível = -1
vértice 562: pai = -1, nível = -1
vértice 563: pai = -1, nível = -1
vértice 564: pai = 565, nível = 11
vértice 565: pai = 13956, nível = 10
vértice 566: pai = 70757, nível = 8
vértice 567: pai = 566, nível = 9
vértice 568: pai = 535, nível = 11
